what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480890311640
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1480890372247
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480890376145
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1480890376503
activated,view,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search.ui.views.SearchView",1480890378039
executed,command,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search.ui.openFileSearchPage",1480890378099
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480890378104
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480890378400
error,log,,,"Problems encountered during text search.",1480890379914
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480890381488
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1480890388571
activated,view,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search.ui.views.SearchView",1480890388581
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1480890393534
activated,view,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search.ui.views.SearchView",1480890393539
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1480890402347
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1480890414807
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480890436449
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480890437945
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480890441817
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480890455065
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1480890464280
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1480890465171
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480890465184
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1480890465495
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480890472580
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480890479905
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480890527600
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1480890527777
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480890528793
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480890530808
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480890537099
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480890599396
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1480890600275
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480890627499
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480890686969
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480890693553
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480890696025
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480890700683
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480890718833
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480890720122
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480890751745
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480890754873
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480890875570
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480890876712
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480891216782
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480891222185
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480891271722
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1480891271844
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1480891276826
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1480891276906
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1480891276938
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1480891282988
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1480891310591
